"AttributeName","Consistency","ValueIDS","RecordIDS","Values","FusedValue","IsCorrect","CorrectValue"
"Title","1.0","Title-{MB_15207+MB_15212+spy_14839}","MB_15207+MB_15212+spy_14839","{UNE MAIN LAVE L'AUTRE|UNE MAIN LAVE L'AUTRE|UNE MAIN LAVE L'AUTRE}","UNE MAIN LAVE L'AUTRE",,
"Title","1.0","Title-{MB_52329+WDC_31431+WDC_8874}","MB_52329+WDC_31431+WDC_8874","{True Love Ways|True Love Ways|True Love Ways}","True Love Ways",,
"Title","1.0","Title-{MB_37229+WDC_39198}","MB_37229+WDC_39198","{Wodka mit irgendwas|Wodka mit irgendwas}","Wodka mit irgendwas",,
"Title","1.0","Title-{MB_65219+WDC_17984}","MB_65219+WDC_17984","{Who We Are|Who We Are}","Who We Are",,
"Title","1.0","Title-{MB_2805+WDC_44078}","MB_2805+WDC_44078","{All Systems Go|All Systems Go}","All Systems Go",,
"Title","1.0","Title-{MB_19111+WDC_23610}","MB_19111+WDC_23610","{Praises To The King|Praises to the King}","Praises To The King",,
"Title","0.0","Title-{MB_22794+WDC_31196}","MB_22794+WDC_31196","{Outrage! Is Now|Outrage! Is Now (Explicit)}","Outrage! Is Now (Explicit)",,
"Title","1.0","Title-{MB_22388+WDC_43881}","MB_22388+WDC_43881","{Something More|Something More}","Something More",,
"Title","1.0","Title-{MB_32399+WDC_6504}","MB_32399+WDC_6504","{Early Light|Early Light}","Early Light",,
"Title","1.0","Title-{MB_37399+MB_37400+MB_37404+MB_37405+spy_19661}","MB_37399+MB_37400+MB_37404+MB_37405+spy_19661","{22, a Million|22, a Million|22, a Million|22, a Million|22, A Million}","22, a Million",,
"Title","1.0","Title-{MB_36955+WDC_6106}","MB_36955+WDC_6106","{Natural High|Natural High}","Natural High",,
"Title","1.0","Title-{MB_20714+WDC_9975}","MB_20714+WDC_9975","{Chain|Chain}","Chain",,
"Title","1.0","Title-{MB_41292+WDC_33622}","MB_41292+WDC_33622","{Poor Boy (Radio Edit)|Poor Boy (Radio Edit)}","Poor Boy (Radio Edit)",,
"Title","1.0","Title-{MB_28567+WDC_21800+WDC_3119}","MB_28567+WDC_21800+WDC_3119","{Bernadette Peters Loves Rodgers and Hammerstein|Bernadette Peters Loves Rodgers And Hammerstein|Bernadette Peters Loves Rodgers And Hammerstein}","Bernadette Peters Loves Rodgers And Hammerstein",,
"Title","1.0","Title-{MB_75392+spy_4570}","MB_75392+spy_4570","{ps… it burned in the rain|ps… it burned in the rain}","ps… it burned in the rain",,
"Title","1.0","Title-{MB_30787+WDC_21794}","MB_30787+WDC_21794","{Chico Buarque de Hollanda E Noel Rosa Na Voz de Isaura Garcia|Chico Buarque de Hollanda e Noel Rosa \'Na Voz de Isaura Garcia\}","Chico Buarque de Hollanda e Noel Rosa \'Na Voz de Isaura Garcia\",,
"Title","1.0","Title-{MB_75249+WDC_37763}","MB_75249+WDC_37763","{Vibrasons|Vibrasons}","Vibrasons",,
"Title","1.0","Title-{MB_73254+WDC_14544}","MB_73254+WDC_14544","{Friendly Strangers: The Warner Bros. Recordings|Friendly Strangers: The Warner Bros. Recordings}","Friendly Strangers: The Warner Bros. Recordings",,
"Title","1.0","Title-{MB_6651+WDC_17725}","MB_6651+WDC_17725","{Everybody Loves a Scene|Everybody Loves A Scene}","Everybody Loves A Scene",,
"Title","1.0","Title-{MB_68946+spy_5834}","MB_68946+spy_5834","{Groundwork|Groundwork}","Groundwork",,
"Title","1.0","Title-{MB_53595+spy_3439}","MB_53595+spy_3439","{Kaikki tiet vievät Peltolaan|Kaikki tiet vievät Peltolaan}","Kaikki tiet vievät Peltolaan",,
"Title","1.0","Title-{MB_27687+WDC_15608}","MB_27687+WDC_15608","{MOMENTARY: Memories of the Beginning|Momentary: Memories of the Beginning}","MOMENTARY: Memories of the Beginning",,
"Title","1.0","Title-{MB_23061+WDC_5415}","MB_23061+WDC_5415","{Kingdoms|Kingdoms}","Kingdoms",,
"Title","1.0","Title-{MB_8240+spy_3676}","MB_8240+spy_3676","{Blue Hawaii|Blue Hawaii}","Blue Hawaii",,
"Title","1.0","Title-{MB_38373+WDC_26236}","MB_38373+WDC_26236","{Before Their Eyes|Before Their Eyes}","Before Their Eyes",,
"Title","1.0","Title-{MB_78544+WDC_11730}","MB_78544+WDC_11730","{The Best of Penetration|The Best Of Penetration}","The Best Of Penetration",,
"Title","1.0","Title-{MB_73107+WDC_21293}","MB_73107+WDC_21293","{AW II|Aw Ii}","Aw Ii",,
"Title","1.0","Title-{MB_836+spy_2044}","MB_836+spy_2044","{Tekisin tän uudelleen|Tekisin tän uudelleen}","Tekisin tän uudelleen",,
"Title","1.0","Title-{MB_45380+WDC_24911+WDC_5524+spy_19689}","MB_45380+WDC_24911+WDC_5524+spy_19689","{A Christmas Cornucopia|A Christmas Cornucopia|A Christmas Cornucopia|A Christmas Cornucopia}","A Christmas Cornucopia",,
"Title","0.0","Title-{MB_44467+WDC_29216}","MB_44467+WDC_29216","{Cuz I Love You|Cuz I Love You (Deluxe [Explicit])}","Cuz I Love You (Deluxe [Explicit])",,
"Title","1.0","Title-{MB_29856+WDC_16022}","MB_29856+WDC_16022","{Christmas Every Day of the Year|Christmas Every Day of the Year}","Christmas Every Day of the Year",,
"Title","1.0","Title-{MB_43630+spy_17613}","MB_43630+spy_17613","{eight-hundreds|eight-hundreds}","eight-hundreds",,
"Title","1.0","Title-{MB_30138+WDC_40495}","MB_30138+WDC_40495","{Storm Damage|Storm Damage}","Storm Damage",,
"Title","1.0","Title-{MB_48680+WDC_45120}","MB_48680+WDC_45120","{Negro Swan|Negro Swan}","Negro Swan",,
"Title","1.0","Title-{MB_51824+spy_4255}","MB_51824+spy_4255","{Move It|Move It}","Move It",,
"Title","1.0","Title-{MB_71433+WDC_10808}","MB_71433+WDC_10808","{There Goes the Neighborhood|There Goes The Neighborhood}","There Goes The Neighborhood",,
"Title","1.0","Title-{MB_12484+WDC_17800+WDC_21832+WDC_23192+WDC_31519+WDC_32343+WDC_43317}","MB_12484+WDC_17800+WDC_21832+WDC_23192+WDC_31519+WDC_32343+WDC_43317","{First Love|First Love|First Love|First Love|First Love|First Love|First Love}","First Love",,
"Title","1.0","Title-{MB_36732+MB_36733+spy_4978}","MB_36732+MB_36733+spy_4978","{Wait for the Morning|Wait For The Morning|Wait for the Morning}","Wait For The Morning",,
"Title","1.0","Title-{MB_35386+spy_3303}","MB_35386+spy_3303","{Los Prisioneros|Los Prisioneros}","Los Prisioneros",,
"Title","1.0","Title-{MB_42706+spy_3531}","MB_42706+spy_3531","{Yine Sev Yine|Yine Sev Yine}","Yine Sev Yine",,
"Title","1.0","Title-{MB_29171+WDC_5493}","MB_29171+WDC_5493","{Quanto tempo e ancora|Quanto tempo e ancora}","Quanto tempo e ancora",,
"Title","1.0","Title-{MB_37885+spy_17088}","MB_37885+spy_17088","{WHERE TO FIND ME|WHERE TO FIND ME}","WHERE TO FIND ME",,
"Title","0.6666666666666666","Title-{MB_70274+WDC_13696+WDC_22042}","MB_70274+WDC_13696+WDC_22042","{Slick Dogs and Ponies|Slick Dogs And Ponies (Explicit)|Slick Dogs And Ponies (Explicit)}","Slick Dogs And Ponies (Explicit)",,
"Title","1.0","Title-{MB_5383+WDC_43418}","MB_5383+WDC_43418","{North South|North South}","North South",,
"Title","1.0","Title-{MB_48744+WDC_21161}","MB_48744+WDC_21161","{Greatest Hits|Greatest Hits}","Greatest Hits",,
"Title","1.0","Title-{MB_2920+WDC_33636}","MB_2920+WDC_33636","{Palomita blanca|Palomita Blanca}","Palomita Blanca",,
"Title","1.0","Title-{MB_5251+spy_10211}","MB_5251+spy_10211","{Columbia|Columbia}","Columbia",,
"Title","1.0","Title-{MB_61391+WDC_36181+WDC_40179}","MB_61391+WDC_36181+WDC_40179","{Daybreak|Daybreak|Daybreak}","Daybreak",,
"Title","1.0","Title-{MB_5524+WDC_9914}","MB_5524+WDC_9914","{Travels|Travels}","Travels",,
